S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 f1 	 f2 (first line is initial values + initially vaccianted)
483446.255686 	 53393.379266 	 1062268.280618 	 4164.565656 	 1145.888086 	 1203.073945 	 134.563813 	 2620.916590 	 2884.231818 	 322.675210 	 6283.289755 	 120.213488 	 8.508938 	 104.752376 	 7491.022355 	 100451.963749 	 74722.577897 	 3849233.840753 	 0.000000 	 0.000000
483385.663695 	 53386.687289 	 1062135.142862 	 4164.043696 	 1145.744468 	 1203.915858 	 134.657981 	 2622.750712 	 2886.793586 	 322.960281 	 6288.871742 	 120.338097 	 8.517653 	 104.861009 	 7500.196344 	 100504.825810 	 74728.691264 	 3849355.337654 	 0.000000 	 0.000000
483325.011124 	 53379.988621 	 1062001.871994 	 4163.521215 	 1145.600706 	 1204.776230 	 134.754214 	 2624.625045 	 2889.346849 	 323.244429 	 6294.435178 	 120.462223 	 8.526336 	 104.969221 	 7509.379032 	 100557.735022 	 74734.810041 	 3849476.942520 	 0.000000 	 0.000000
483264.372383 	 53373.291481 	 1061868.631514 	 4162.998853 	 1145.456977 	 1205.581046 	 134.844233 	 2626.378352 	 2891.890742 	 323.527557 	 6299.978179 	 120.585871 	 8.534988 	 105.077016 	 7518.570387 	 100610.691224 	 74740.934209 	 3849598.654988 	 0.000000 	 0.000000
483203.747469 	 53366.595868 	 1061735.421415 	 4162.476610 	 1145.313281 	 1206.333020 	 134.928341 	 2628.016540 	 2894.422768 	 323.809386 	 6305.495307 	 120.709042 	 8.543608 	 105.184393 	 7527.770374 	 100663.694222 	 74747.063748 	 3849720.474607 	 0.000000 	 0.000000
483143.136431 	 53359.901788 	 1061602.241807 	 4161.954486 	 1145.169618 	 1207.034680 	 135.006822 	 2629.545118 	 2896.940610 	 324.089656 	 6310.981514 	 120.831733 	 8.552195 	 105.291352 	 7536.978954 	 100716.743777 	 74753.198629 	 3849842.400830 	 0.000000 	 0.000000
483082.523937 	 53353.207546 	 1061469.058998 	 4161.432350 	 1145.025951 	 1207.703928 	 135.081677 	 2631.003084 	 2899.442137 	 324.368128 	 6316.432157 	 120.953937 	 8.560750 	 105.397886 	 7546.196084 	 100769.839613 	 74759.338822 	 3849964.433016 	 0.000000 	 0.000000
483021.632386 	 53346.482485 	 1061335.263023 	 4160.907810 	 1144.881623 	 1208.614723 	 135.183549 	 2632.987267 	 2901.933668 	 324.645508 	 6321.861002 	 121.075652 	 8.569272 	 105.503991 	 7555.421721 	 100822.981467 	 74765.484296 	 3850086.570559 	 0.000000 	 0.000000
482960.754940 	 53339.758982 	 1061201.498040 	 4160.383392 	 1144.737328 	 1209.467234 	 135.278903 	 2634.844476 	 2904.419478 	 324.922274 	 6327.277366 	 121.196882 	 8.577761 	 105.609675 	 7564.655837 	 100876.169216 	 74771.635037 	 3850208.813180 	 0.000000 	 0.000000
482899.891549 	 53333.037031 	 1061067.763941 	 4159.859095 	 1144.593067 	 1210.264352 	 135.368060 	 2636.581010 	 2906.896868 	 325.198123 	 6332.675368 	 121.317636 	 8.586219 	 105.714942 	 7573.898404 	 100929.402727 	 74777.791032 	 3850331.160578 	 0.000000 	 0.000000
482839.042220 	 53326.316633 	 1060934.060741 	 4159.334918 	 1144.448838 	 1211.008771 	 135.451324 	 2638.202740 	 2909.363332 	 325.472774 	 6338.049546 	 121.437913 	 8.594644 	 105.819793 	 7583.149389 	 100982.681821 	 74783.952259 	 3850453.612343 	 0.000000 	 0.000000
482778.204012 	 53319.597463 	 1060800.381975 	 4158.810838 	 1144.304637 	 1211.706026 	 135.529311 	 2639.721721 	 2911.816543 	 325.745968 	 6343.394833 	 121.557714 	 8.603038 	 105.924228 	 7592.408755 	 101036.006277 	 74790.118695 	 3850576.167966 	 0.000000 	 0.000000
482717.323041 	 53312.873570 	 1060666.609245 	 4158.286389 	 1144.160334 	 1212.411288 	 135.608195 	 2641.258147 	 2914.255954 	 326.017642 	 6348.710040 	 121.677034 	 8.611399 	 106.028243 	 7601.676460 	 101089.375844 	 74796.290309 	 3850698.826867 	 0.000000 	 0.000000
482656.456408 	 53306.151261 	 1060532.868024 	 4157.762064 	 1144.016065 	 1213.068058 	 135.681655 	 2642.688930 	 2916.680748 	 326.287704 	 6353.993386 	 121.795869 	 8.619727 	 106.131835 	 7610.952464 	 101142.790268 	 74802.467074 	 3850821.588460 	 0.000000 	 0.000000
482595.604257 	 53299.430551 	 1060399.158620 	 4157.237863 	 1143.871830 	 1213.678562 	 135.749940 	 2644.018924 	 2919.088871 	 326.555924 	 6359.240395 	 121.914213 	 8.628022 	 106.234998 	 7620.236721 	 101196.249265 	 74808.648956 	 3850944.452088 	 0.000000 	 0.000000
482534.766768 	 53292.711460 	 1060265.481436 	 4156.713789 	 1143.727630 	 1214.244876 	 135.813282 	 2645.252650 	 2921.478414 	 326.822089 	 6364.446910 	 122.032057 	 8.636283 	 106.337725 	 7629.529185 	 101249.752516 	 74814.835919 	 3851067.417010 	 0.000000 	 0.000000
482473.930795 	 53285.992537 	 1060131.807580 	 4156.189728 	 1143.583433 	 1214.782407 	 135.873405 	 2646.423668 	 2923.847622 	 327.086000 	 6369.609110 	 122.149391 	 8.644510 	 106.440007 	 7638.829802 	 101303.299670 	 74821.027923 	 3851190.482411 	 0.000000 	 0.000000
482412.855929 	 53279.247230 	 1059997.608811 	 4155.663609 	 1143.438671 	 1215.528443 	 135.956849 	 2648.048920 	 2926.202058 	 327.348281 	 6374.739109 	 122.266204 	 8.652701 	 106.541834 	 7648.138521 	 101356.890388 	 74827.224929 	 3851313.647511 	 0.000000 	 0.000000
482351.796339 	 53272.503610 	 1059863.443606 	 4155.137622 	 1143.293944 	 1216.223078 	 136.034544 	 2649.562195 	 2928.545504 	 327.609354 	 6379.845153 	 122.382498 	 8.660857 	 106.643208 	 7657.455305 	 101410.524457 	 74833.426912 	 3851436.911814 	 0.000000 	 0.000000
482290.752114 	 53265.761687 	 1059729.312163 	 4154.611766 	 1143.149254 	 1216.868731 	 136.106760 	 2650.968760 	 2930.875696 	 327.868965 	 6384.922305 	 122.498272 	 8.668978 	 106.744128 	 7666.780115 	 101464.201652 	 74839.633847 	 3851560.274808 	 0.000000 	 0.000000
