S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 h 	 f1 	 f2 (first line is initial values + initially vaccianted)
13648536.262958 	 9194.446578 	 4442.055599 	 8874.225586 	 2413.441089 	 13598.101449 	 18.320942 	 17.702564 	 33291.903548 	 44.854719 	 43.340761 	 4.730832 	 0.000000 	 0.000000 	 0.000000 	 1522965.425463 	 11246.362473 	 15308.825439 	 0.000000 	 51603.588249 	 25358.882156
13648536.262958 	 9194.446578 	 4442.055599 	 8874.225586 	 2413.441089 	 13598.101449 	 18.320942 	 17.702564 	 33291.903548 	 44.854719 	 43.340761 	 4.730832 	 0.000000 	 0.000000 	 0.000000 	 1522965.425463 	 11246.362473 	 15308.825439 	 0.000000 	 1830.370983 	 703.802129
13647636.494431 	 9257.480650 	 4476.332022 	 8949.732088 	 2407.714807 	 13489.037660 	 17.899573 	 17.020135 	 33305.796606 	 44.865217 	 43.342672 	 4.636731 	 0.000078 	 0.000048 	 0.018546 	 1523594.738593 	 11333.274711 	 15421.615433 	 0.000000 	 1830.370983 	 703.802129
13646736.570221 	 9320.541818 	 4510.606944 	 9025.219459 	 2401.958851 	 13385.463351 	 17.501255 	 16.372445 	 33314.153146 	 44.855236 	 43.311639 	 4.546351 	 0.000153 	 0.000093 	 0.036994 	 1524224.254114 	 11420.172919 	 15534.435009 	 0.000000 	 1830.370983 	 703.802129
13645836.562501 	 9383.629556 	 4544.880385 	 9100.687744 	 2396.173812 	 13287.040380 	 17.124804 	 15.757780 	 33317.346058 	 44.826295 	 43.249992 	 4.459530 	 0.000225 	 0.000137 	 0.055346 	 1524853.865218 	 11507.057277 	 15647.282960 	 0.000000 	 1830.370983 	 703.802129
13644936.538645 	 9446.743347 	 4579.152369 	 9176.136987 	 2390.360259 	 13193.451772 	 16.769097 	 15.174505 	 33315.724642 	 44.779821 	 43.159931 	 4.376116 	 0.000294 	 0.000179 	 0.073604 	 1525483.472314 	 11593.927980 	 15760.158136 	 0.000000 	 1830.370983 	 703.802129
13644030.863772 	 9509.878718 	 4613.420990 	 9251.563372 	 2384.517755 	 13110.094898 	 16.438031 	 14.622995 	 33309.623207 	 44.717171 	 43.043535 	 4.295962 	 0.000360 	 0.000220 	 0.091769 	 1526112.982568 	 11680.785232 	 15873.059447 	 0.000001 	 1830.370983 	 703.802129
13643017.028069 	 9572.963001 	 4647.651282 	 9326.898081 	 2378.629094 	 13136.262287 	 16.217579 	 14.135562 	 33302.394061 	 44.642268 	 42.903799 	 4.218930 	 0.000423 	 0.000258 	 0.109845 	 1526742.330915 	 11767.628682 	 15985.985863 	 0.000009 	 1830.370983 	 703.802129
13642003.265064 	 9636.070504 	 4681.879570 	 9402.215021 	 2372.713864 	 13161.102359 	 16.010662 	 13.673568 	 33296.569808 	 44.558287 	 42.743343 	 4.144902 	 0.000484 	 0.000295 	 0.127833 	 1527371.529849 	 11854.458155 	 16098.936433 	 0.000017 	 1830.370983 	 703.802129
13640989.527016 	 9699.200687 	 4716.105837 	 9477.514163 	 2366.772562 	 13184.726426 	 15.816660 	 13.235789 	 33292.059726 	 44.466059 	 42.563808 	 4.073762 	 0.000542 	 0.000330 	 0.145739 	 1528000.606660 	 11941.273981 	 16211.910252 	 0.000026 	 1830.370983 	 703.802129
