S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 h 	 f1 	 f2 (first line is initial values + initially vaccianted)
16108142.331356 	 706114.974102 	 455382.290503 	 824112.324551 	 181406.657055 	 29895.247617 	 1446.354675 	 726.487688 	 73992.233614 	 2883.280183 	 1426.190309 	 970.942088 	 18.639884 	 5.838978 	 1194.506957 	 2405690.712483 	 979433.249356 	 1887157.738600 	 0.001300 	 148373.977600 	 64640.791575
16080898.762829 	 707385.457036 	 457334.239745 	 836362.881488 	 182819.442002 	 29896.527253 	 1452.456067 	 730.405504 	 74010.382660 	 2898.114085 	 1434.100905 	 971.297306 	 18.745015 	 5.871756 	 1197.430532 	 2403310.416941 	 982580.321682 	 1896693.147193 	 0.001303 	 148373.977600 	 64640.791575
16053656.594878 	 708659.492986 	 459285.880061 	 848611.016471 	 184227.728322 	 29899.906758 	 1458.673340 	 734.394157 	 74028.293549 	 2912.960159 	 1442.051187 	 971.650470 	 18.850516 	 5.904708 	 1200.355393 	 2400928.122330 	 985725.035669 	 1906233.089044 	 0.001306 	 148373.977600 	 64640.791575
16026418.969110 	 709937.173178 	 461237.298378 	 860856.886361 	 185631.602182 	 29902.073927 	 1464.832325 	 738.363709 	 74045.983770 	 2927.819110 	 1450.041403 	 972.001565 	 18.956382 	 5.937836 	 1203.281534 	 2398543.820256 	 988867.442392 	 1915777.516584 	 0.001309 	 148373.977600 	 64640.791575
15999185.894597 	 711218.450965 	 463188.492826 	 873100.488474 	 187031.113890 	 29903.082683 	 1470.935614 	 742.314994 	 74063.399031 	 2942.687862 	 1458.069838 	 972.350569 	 19.062607 	 5.971139 	 1206.208948 	 2396157.501952 	 992007.591358 	 1925326.382653 	 0.001311 	 148373.977600 	 64640.791575
15971957.381370 	 712503.280461 	 465139.461598 	 885341.820186 	 188426.312997 	 29902.983324 	 1476.985615 	 746.248775 	 74080.488696 	 2957.563523 	 1466.134849 	 972.697447 	 19.169188 	 6.004619 	 1209.137626 	 2393769.157614 	 995145.531312 	 1934879.640801 	 0.001314 	 148373.977600 	 64640.791575
15944585.417269 	 713838.401175 	 467096.731670 	 897624.317501 	 189808.755654 	 29903.366787 	 1483.067391 	 750.208560 	 74097.209397 	 2972.443582 	 1474.234971 	 973.042153 	 19.276117 	 6.038276 	 1212.067559 	 2391356.795851 	 998348.280565 	 1944450.345521 	 0.001317 	 249496.923848 	 71358.801297
15899766.116791 	 720751.532909 	 469833.899073 	 915082.322262 	 190180.762387 	 29915.654321 	 1490.031082 	 754.562247 	 74113.951277 	 2987.353298 	 1482.381717 	 973.384671 	 19.383392 	 6.072109 	 1214.998742 	 2386325.881980 	 1009518.395789 	 1955583.315955 	 0.001320 	 249496.923848 	 71358.801297
15854954.634838 	 727667.965648 	 472567.735849 	 932537.062227 	 190553.790726 	 29925.182464 	 1497.304583 	 758.949140 	 74130.895387 	 3002.321704 	 1490.584043 	 973.725083 	 19.491013 	 6.106122 	 1217.931176 	 2381291.288587 	 1020686.561214 	 1966718.470198 	 0.001324 	 249496.923848 	 71358.801297
15810150.978944 	 734587.570369 	 475298.279356 	 949988.530038 	 190927.892690 	 29932.088995 	 1504.873553 	 763.367506 	 74147.904584 	 3017.362617 	 1498.842447 	 974.063459 	 19.598983 	 6.140316 	 1220.864864 	 2376253.007836 	 1031852.913483 	 1977855.719960 	 0.001327 	 249496.923848 	 71358.801297
15765355.158691 	 741510.223042 	 478025.566388 	 967436.718401 	 191303.116649 	 29936.502927 	 1512.724237 	 767.815644 	 74164.851041 	 3032.488886 	 1507.157334 	 974.399836 	 19.707309 	 6.174693 	 1223.799806 	 2371211.029221 	 1043017.584653 	 1988994.981242 	 0.001331 	 249496.923848 	 71358.801297
15720566.829267 	 748435.787437 	 480749.622291 	 984881.597803 	 191679.503194 	 29938.922722 	 1520.864685 	 772.302748 	 74181.616586 	 3047.712491 	 1515.529045 	 974.734220 	 19.815998 	 6.209256 	 1226.735999 	 2366165.339743 	 1054180.702397 	 2000136.174117 	 0.001335 	 249496.923848 	 71358.801297
15675783.159056 	 755364.014701 	 483470.395269 	 1002322.975822 	 192057.058752 	 29942.378186 	 1529.447382 	 776.911517 	 74198.198999 	 3063.050617 	 1523.960940 	 975.066599 	 19.925059 	 6.244007 	 1229.673440 	 2361115.924145 	 1065342.392512 	 2011279.222998 	 0.001338 	 249496.923848 	 71358.801297
15631007.371388 	 762294.948311 	 486188.018217 	 1019761.039790 	 192435.860474 	 29943.500146 	 1538.265531 	 781.540701 	 74214.560276 	 3078.517240 	 1532.455072 	 975.396965 	 20.034505 	 6.278948 	 1232.612124 	 2356062.767554 	 1076502.776794 	 2022424.055963 	 0.001341 	 249496.923848 	 71358.801297
15586239.479391 	 769228.481799 	 488902.525674 	 1037195.782483 	 192815.944076 	 29942.400078 	 1547.308082 	 786.189049 	 74230.592078 	 3094.121197 	 1541.011188 	 975.725288 	 20.144349 	 6.314082 	 1235.552045 	 2351005.853820 	 1087661.971161 	 2033570.604160 	 0.001344 	 249496.923848 	 71358.801297
15541479.497793 	 776164.512635 	 491613.951665 	 1054627.196757 	 193197.342552 	 29939.182386 	 1556.564422 	 790.855321 	 74246.193555 	 3109.870611 	 1549.628978 	 976.051511 	 20.254605 	 6.349412 	 1238.493198 	 2345945.164687 	 1098820.087881 	 2044718.802030 	 0.001347 	 249496.923848 	 71358.801297
15496727.024052 	 783102.920897 	 494322.316359 	 1072055.246636 	 193580.081106 	 29934.391448 	 1566.050664 	 795.551616 	 74261.271970 	 3125.772999 	 1558.308110 	 976.375559 	 20.365289 	 6.384940 	 1241.435570 	 2340880.679939 	 1109977.235715 	 2055868.587133 	 0.001350 	 249496.923848 	 71358.801297
15451978.732235 	 790043.440328 	 497027.545160 	 1089479.692782 	 193964.146028 	 29931.567909 	 1575.961533 	 800.380105 	 74275.868615 	 3141.842765 	 1567.052010 	 976.697344 	 20.476417 	 6.420667 	 1244.379152 	 2335812.377599 	 1121133.519142 	 2067019.900210 	 0.001353 	 249496.923848 	 71358.801297
