S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 h 	 f1 	 f2 (first line is initial values + initially vaccianted)
549604.592628 	 58181.231011 	 1098317.459027 	 1592.265684 	 -563.453614 	 369.399455 	 38.614109 	 736.067095 	 899.313700 	 94.038290 	 1791.950559 	 37.674049 	 2.492817 	 30.026672 	 3878.752030 	 86633.601207 	 73783.202075 	 3774572.773206 	 0.000225 	 0.000000 	 0.000000
549585.923688 	 58179.254714 	 1098280.151436 	 1592.211598 	 -563.434475 	 369.538704 	 38.628665 	 736.344565 	 899.905279 	 94.099513 	 1793.129860 	 37.706492 	 2.494920 	 30.052552 	 3881.501761 	 86650.085128 	 73784.983728 	 3774607.421872 	 0.000226 	 0.000000 	 0.000000
549567.262754 	 58177.279264 	 1098242.859845 	 1592.157535 	 -563.415344 	 369.663462 	 38.641706 	 736.593157 	 900.491541 	 94.160192 	 1794.298557 	 37.738702 	 2.497008 	 30.078246 	 3884.253527 	 86666.579970 	 73786.766543 	 3774642.093336 	 0.000226 	 0.000000 	 0.000000
549548.512239 	 58175.294332 	 1098205.389238 	 1592.103213 	 -563.396121 	 369.869643 	 38.663259 	 737.003994 	 901.074534 	 94.220542 	 1795.460729 	 37.770679 	 2.499082 	 30.103755 	 3887.007312 	 86683.085645 	 73788.550512 	 3774676.787416 	 0.000227 	 0.000000 	 0.000000
549529.774918 	 58173.310796 	 1098167.944998 	 1592.048928 	 -563.376911 	 370.052866 	 38.682411 	 737.369085 	 901.655610 	 94.280703 	 1796.619072 	 37.802427 	 2.501142 	 30.129080 	 3889.763105 	 86699.602113 	 73790.335630 	 3774711.504027 	 0.000227 	 0.000000 	 0.000000
549511.050621 	 58171.328639 	 1098130.526784 	 1591.994682 	 -563.357715 	 370.214416 	 38.699299 	 737.690992 	 902.233703 	 94.340563 	 1797.771462 	 37.833952 	 2.503187 	 30.154227 	 3892.520896 	 86716.129327 	 73792.121892 	 3774746.243073 	 0.000228 	 0.000000 	 0.000000
549492.339200 	 58169.347845 	 1098093.134301 	 1591.940473 	 -563.338532 	 370.355497 	 38.714046 	 737.972110 	 902.807830 	 94.400020 	 1798.915938 	 37.865254 	 2.505219 	 30.179197 	 3895.280670 	 86732.667221 	 73793.909292 	 3774781.004418 	 0.000228 	 0.000000 	 0.000000
549473.635337 	 58167.367851 	 1098055.756922 	 1591.886286 	 -563.319357 	 370.482429 	 38.727315 	 738.225036 	 903.377090 	 94.458980 	 1800.050708 	 37.896336 	 2.507237 	 30.203991 	 3898.042414 	 86749.215713 	 73795.697822 	 3774815.787892 	 0.000229 	 0.000000 	 0.000000
549454.845511 	 58165.378757 	 1098018.207754 	 1591.831850 	 -563.300094 	 370.687146 	 38.748714 	 738.632956 	 903.943429 	 94.517644 	 1801.179648 	 37.927199 	 2.509241 	 30.228609 	 3900.806113 	 86765.774724 	 73797.487472 	 3774850.593327 	 0.000229 	 0.000000 	 0.000000
549436.068207 	 58163.390988 	 1097980.683614 	 1591.777450 	 -563.280843 	 370.869632 	 38.767790 	 738.996578 	 904.508127 	 94.576148 	 1802.305309 	 37.957847 	 2.511231 	 30.253055 	 3903.571758 	 86782.344218 	 73799.278240 	 3774885.420650 	 0.000230 	 0.000000 	 0.000000
549417.303265 	 58161.404528 	 1097943.184175 	 1591.723086 	 -563.261606 	 371.031131 	 38.784672 	 739.318382 	 905.070147 	 94.634383 	 1803.425624 	 37.988284 	 2.513209 	 30.277333 	 3906.339337 	 86798.924154 	 73801.070120 	 3774920.269777 	 0.000231 	 0.000000 	 0.000000
549398.550542 	 58159.419362 	 1097905.709154 	 1591.668757 	 -563.242380 	 371.172805 	 38.799481 	 739.600681 	 905.628532 	 94.692247 	 1804.538689 	 38.018512 	 2.515173 	 30.301445 	 3909.108839 	 86815.514470 	 73802.863108 	 3774955.140583 	 0.000231 	 0.000000 	 0.000000
549379.804940 	 58157.434950 	 1097868.248365 	 1591.614449 	 -563.223162 	 371.300723 	 38.812853 	 739.855571 	 906.182406 	 94.749651 	 1805.642757 	 38.048534 	 2.517124 	 30.325391 	 3911.880250 	 86832.115094 	 73804.657194 	 3774990.032912 	 0.000232 	 0.000000 	 0.000000
549360.976809 	 58155.441801 	 1097830.622651 	 1591.559902 	 -563.203860 	 371.503023 	 38.833999 	 740.258675 	 906.733622 	 94.806786 	 1806.741521 	 38.078349 	 2.519062 	 30.349172 	 3914.653557 	 86848.725950 	 73806.452372 	 3775024.946609 	 0.000232 	 0.000000 	 0.000000
549342.160558 	 58153.449909 	 1097793.020680 	 1591.505389 	 -563.184569 	 371.683839 	 38.852901 	 740.618970 	 907.283396 	 94.863779 	 1807.837402 	 38.107962 	 2.520988 	 30.372792 	 3917.428751 	 86865.347006 	 73808.248637 	 3775059.881610 	 0.000233 	 0.000000 	 0.000000
549323.356033 	 58151.459259 	 1097755.442140 	 1591.450910 	 -563.165291 	 371.844370 	 38.869681 	 740.938846 	 907.830722 	 94.920527 	 1808.928398 	 38.137377 	 2.522901 	 30.396255 	 3920.205822 	 86881.978225 	 73810.045987 	 3775094.837837 	 0.000233 	 0.000000 	 0.000000
549304.563100 	 58149.469836 	 1097717.886765 	 1591.396465 	 -563.146025 	 371.985738 	 38.884459 	 741.220535 	 908.374673 	 94.976931 	 1810.012662 	 38.166597 	 2.524802 	 30.419561 	 3922.984758 	 86898.619552 	 73811.844415 	 3775129.815176 	 0.000234 	 0.000000 	 0.000000
549285.776864 	 58147.481122 	 1097680.344773 	 1591.342039 	 -563.126765 	 372.113775 	 38.897843 	 741.475662 	 908.914400 	 95.032902 	 1811.088499 	 38.195623 	 2.526690 	 30.442711 	 3925.765548 	 86915.270917 	 73813.643915 	 3775164.813482 	 0.000234 	 0.000000 	 0.000000
549266.911208 	 58145.484001 	 1097642.644070 	 1591.287383 	 -563.107424 	 372.313151 	 38.918684 	 741.872940 	 909.451673 	 95.088626 	 1812.159442 	 38.224455 	 2.528567 	 30.465708 	 3928.548178 	 86931.932251 	 73815.444478 	 3775199.832608 	 0.000235 	 0.000000 	 0.000000
