S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 f1 	 f2 (first line is initial values + initially vaccianted)
20729383.466721 	 91623.589738 	 44892.778167 	 90954.875934 	 20304.100597 	 19561.617538 	 122.335897 	 84.076079 	 50682.437386 	 379.966716 	 350.914551 	 560.679606 	 0.965719 	 0.580053 	 34.241408 	 2343340.936354 	 113748.816924 	 153973.620612 	 16144.703754 	 6207.854568
20725526.373276 	 92181.093464 	 45194.087306 	 91620.484736 	 20250.202344 	 19540.335506 	 121.395637 	 81.993805 	 50650.762425 	 378.497205 	 348.084634 	 562.798370 	 1.006170 	 0.603322 	 36.069097 	 2344022.321116 	 114512.161249 	 154971.730338 	 16144.703754 	 6207.854568
20721655.102458 	 92738.693290 	 45495.350051 	 92285.863740 	 20196.104639 	 19534.112860 	 120.600456 	 80.057429 	 50619.076020 	 377.014184 	 345.211469 	 564.871302 	 1.045667 	 0.625896 	 37.898697 	 2344702.974261 	 115275.425290 	 155969.972295 	 16144.703754 	 6207.854568
20717784.938029 	 93296.453626 	 45796.599539 	 92951.080917 	 20141.825657 	 19527.279284 	 119.862777 	 78.227508 	 50587.693064 	 375.522704 	 342.302064 	 566.899279 	 1.084226 	 0.647784 	 39.730153 	 2345382.899271 	 116038.611563 	 156968.342554 	 16144.703754 	 6207.854568
20713915.877244 	 93854.371474 	 46097.835801 	 93616.136301 	 20087.368446 	 19519.867139 	 119.179770 	 76.498832 	 50556.578117 	 374.025708 	 339.362277 	 568.883181 	 1.121862 	 0.668996 	 41.563415 	 2346062.101096 	 116801.722955 	 157966.837386 	 16144.703754 	 6207.854568
20710047.917640 	 94412.443909 	 46399.058865 	 94281.029921 	 20032.735977 	 19511.906929 	 118.548742 	 74.866445 	 50525.697997 	 372.525944 	 336.397597 	 570.823862 	 1.158591 	 0.689541 	 43.398432 	 2346740.584021 	 117564.762335 	 158965.453252 	 16144.703754 	 6207.854568
20706179.510280 	 94970.660984 	 46700.265275 	 94945.754729 	 19977.929656 	 19504.977365 	 117.975693 	 73.329110 	 50495.025519 	 371.025998 	 333.413175 	 572.722154 	 1.194430 	 0.709429 	 45.235155 	 2347418.351714 	 118327.732549 	 159964.186786 	 16144.703754 	 6207.854568
20702298.285071 	 95528.962617 	 47001.426914 	 95610.254637 	 19922.940532 	 19511.081013 	 117.524554 	 71.909344 	 50464.978042 	 369.530729 	 330.414825 	 574.578906 	 1.229394 	 0.728669 	 47.073537 	 2348095.410458 	 119090.635949 	 160963.034806 	 16144.703754 	 6207.854568
20698418.155913 	 96087.409461 	 47302.574994 	 96274.593819 	 19867.784902 	 19515.982853 	 117.114378 	 70.570969 	 50435.796905 	 368.043860 	 327.407662 	 576.395064 	 1.263501 	 0.747274 	 48.913544 	 2348771.775519 	 119853.475076 	 161961.994307 	 16144.703754 	 6207.854568
20694539.108086 	 96645.998812 	 47603.709514 	 96938.772246 	 19812.465451 	 19519.755798 	 116.743207 	 69.310023 	 50407.407289 	 366.567204 	 324.395788 	 578.171557 	 1.296767 	 0.765252 	 50.755142 	 2349447.462628 	 120616.252794 	 162961.062440 	 16144.703754 	 6207.854568
20690661.127992 	 97204.728030 	 47904.830478 	 97602.789891 	 19756.984797 	 19522.468111 	 116.409174 	 68.122739 	 50379.739353 	 365.102442 	 321.383037 	 579.909284 	 1.329210 	 0.782616 	 52.598300 	 2350122.486107 	 121378.971939 	 163960.236499 	 16144.703754 	 6207.854568
20686782.809580 	 97763.587958 	 48205.934644 	 98266.640121 	 19701.344173 	 19525.580325 	 116.118391 	 67.008768 	 50352.731397 	 363.651153 	 318.372989 	 581.609108 	 1.360846 	 0.799377 	 54.442983 	 2350796.858955 	 122141.635315 	 164959.513916 	 16144.703754 	 6207.854568
20682892.997954 	 98322.522906 	 48506.995825 	 98930.270517 	 19645.535602 	 19539.943583 	 115.930320 	 65.989829 	 50326.724851 	 362.217055 	 315.369911 	 583.271901 	 1.391691 	 0.815546 	 56.289161 	 2351470.595825 	 122904.245266 	 165958.892259 	 16144.703754 	 6207.854568
20679004.218690 	 98881.589258 	 48808.043053 	 99593.740910 	 19589.573563 	 19552.764733 	 115.770888 	 65.032967 	 50301.904951 	 360.802859 	 312.377470 	 584.898607 	 1.421764 	 0.831133 	 58.136813 	 2352143.718801 	 123666.804300 	 166958.369240 	 16144.703754 	 6207.854568
20675116.449778 	 99440.784571 	 49109.076311 	 100257.051225 	 19533.460428 	 19564.140446 	 115.638783 	 64.135183 	 50278.174291 	 359.409558 	 309.398454 	 586.490151 	 1.451080 	 0.846153 	 59.985919 	 2352816.249777 	 124429.315205 	 167957.942690 	 16144.703754 	 6207.854568
20671229.670847 	 100000.106461 	 49410.095579 	 100920.201391 	 19477.198515 	 19574.161080 	 115.532753 	 63.293623 	 50255.442016 	 358.038057 	 306.435451 	 588.047417 	 1.479657 	 0.860614 	 61.836458 	 2353488.208800 	 125191.780732 	 168957.610548 	 16144.703754 	 6207.854568
20667337.888568 	 100561.984100 	 49710.892028 	 101582.337870 	 19421.546247 	 19584.169228 	 115.458863 	 62.508579 	 50233.626543 	 356.689205 	 303.490865 	 589.571255 	 1.507512 	 0.874531 	 63.688410 	 2354159.076630 	 125957.091456 	 169957.598110 	 19298.866401 	 6675.127579
20662874.190290 	 101413.941008 	 49987.093955 	 102143.485591 	 19456.008071 	 19603.949765 	 115.481513 	 61.800232 	 50213.010917 	 355.366046 	 300.567774 	 591.062511 	 1.534662 	 0.887913 	 65.541753 	 2354765.425604 	 127066.017673 	 170984.634723 	 19298.866401 	 6675.127579
20658411.482437 	 102265.890925 	 50263.149975 	 102704.594059 	 19490.629349 	 19621.987581 	 115.541200 	 61.137958 	 50193.738191 	 354.071311 	 297.668705 	 592.522089 	 1.561122 	 0.900773 	 67.396478 	 2355371.238384 	 128174.902335 	 172011.587127 	 19298.866401 	 6675.127579
20653949.738993 	 103117.831900 	 50539.062601 	 103265.663166 	 19525.406846 	 19638.393090 	 115.636222 	 60.519549 	 50175.698275 	 352.806227 	 294.795411 	 593.950873 	 1.586911 	 0.913124 	 69.252573 	 2355976.539883 	 129283.747896 	 173038.456461 	 19298.866401 	 6675.127579
20649488.935901 	 103969.762050 	 50814.834282 	 103826.692810 	 19560.337404 	 19653.269408 	 115.764951 	 59.942900 	 50158.788544 	 351.571915 	 291.949498 	 595.349700 	 1.612044 	 0.924975 	 71.110027 	 2356581.352926 	 130392.556774 	 174065.243891 	 19298.866401 	 6675.127579
20645028.337309 	 104821.675929 	 51090.465639 	 104387.679293 	 19595.417262 	 19667.428275 	 115.930120 	 59.407768 	 50142.915126 	 350.369408 	 289.132446 	 596.719373 	 1.636538 	 0.936340 	 72.968826 	 2357185.698391 	 131501.331350 	 175091.950606 	 19298.866401 	 6675.127579
20640562.215327 	 105673.542950 	 51365.944815 	 104948.593012 	 19630.637936 	 19686.488392 	 116.163551 	 58.925905 	 50128.194943 	 349.200867 	 286.346112 	 598.060674 	 1.660410 	 0.947230 	 74.828958 	 2357789.596811 	 132610.074228 	 176118.577879 	 19298.866401 	 6675.127579
20636096.970171 	 106525.394235 	 51641.289932 	 105509.465515 	 19666.002492 	 19703.952276 	 116.424502 	 58.479331 	 50114.668935 	 348.067885 	 283.592035 	 599.374403 	 1.683677 	 0.957657 	 76.690414 	 2358393.071425 	 133718.788104 	 177145.127013 	 19298.866401 	 6675.127579
20631632.577971 	 107377.228099 	 51916.503186 	 106070.296693 	 19701.508054 	 19719.921120 	 116.711737 	 58.066362 	 50102.236978 	 346.971088 	 280.871281 	 600.661335 	 1.706354 	 0.967631 	 78.553187 	 2358996.144361 	 134827.475297 	 178171.599266 	 19298.866401 	 6675.127579
20627169.016685 	 108229.042914 	 52191.586717 	 106631.086443 	 19737.151813 	 19734.489400 	 117.024071 	 57.685396 	 50090.805773 	 345.911031 	 278.184814 	 601.922203 	 1.728458 	 0.977165 	 80.417265 	 2359598.835846 	 135936.138094 	 179197.995911 	 19298.866401 	 6675.127579
20622706.279478 	 109080.837177 	 52466.542650 	 107191.834740 	 19772.931039 	 19747.731772 	 117.360286 	 57.334869 	 50080.288352 	 344.888201 	 275.533500 	 603.157709 	 1.750005 	 0.986270 	 82.282639 	 2360201.164341 	 137044.778746 	 180224.318226 	 19298.866401 	 6675.127579
20618244.455669 	 109932.610524 	 52741.373350 	 107752.540876 	 19808.843051 	 19759.625883 	 117.718643 	 57.013058 	 50070.599822 	 343.902995 	 272.918106 	 604.368519 	 1.771011 	 0.994957 	 84.149296 	 2360803.146629 	 138153.400056 	 181250.567555 	 19298.866401 	 6675.127579
20613783.406435 	 110784.361330 	 53016.080548 	 108313.203161 	 19844.885015 	 19770.373260 	 118.098872 	 56.718889 	 50061.662382 	 342.955760 	 270.339316 	 605.555268 	 1.791491 	 1.003236 	 86.017224 	 2361404.797877 	 139262.004695 	 182276.745241 	 19298.866401 	 6675.127579
20609323.115991 	 111636.088164 	 53290.666181 	 108873.821519 	 19881.054377 	 19780.045271 	 118.499977 	 56.451037 	 50053.406187 	 342.046802 	 267.797741 	 606.718564 	 1.811460 	 1.011119 	 87.886409 	 2362006.131811 	 140370.594804 	 183302.852585 	 19298.866401 	 6675.127579
20604863.569827 	 112487.789639 	 53565.132142 	 109434.395884 	 19917.348642 	 19788.708561 	 118.921002 	 56.208239 	 50045.766187 	 341.176372 	 265.293913 	 607.858984 	 1.830934 	 1.018617 	 89.756836 	 2362607.160839 	 141479.172491 	 184328.890890 	 19298.866401 	 6675.127579
20600404.749904 	 113339.464389 	 53839.480264 	 109994.926166 	 19953.765368 	 19796.430091 	 119.361062 	 55.989304 	 50038.681820 	 340.344671 	 262.828297 	 608.977082 	 1.849927 	 1.025740 	 91.628491 	 2363207.896133 	 142587.739831 	 185354.861460 	 19298.866401 	 6675.127579
20595946.606264 	 114191.111487 	 54113.712301 	 110555.410941 	 19990.302033 	 19803.304545 	 119.819519 	 55.793181 	 50032.098052 	 339.551859 	 260.401291 	 610.073388 	 1.868454 	 1.032499 	 93.501358 	 2363808.347731 	 143696.299444 	 186380.765653 	 19298.866401 	 6675.127579
