S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 h 	 f1 	 f2 (first line is initial values + initially vaccianted)
2822567.401233 	 433479.530515 	 211811.009766 	 431750.299103 	 100472.323432 	 2418.581834 	 539.158379 	 445.867789 	 7907.793867 	 2009.919710 	 1911.428676 	 432.270998 	 22.215404 	 13.489063 	 263.617750 	 350536.266653 	 546970.149237 	 736448.676590 	 -0.000042 	 79063.427570 	 30400.945564
2808442.316750 	 436199.145123 	 213279.585658 	 434973.637433 	 100211.729469 	 2367.056390 	 523.806605 	 428.468687 	 7870.291906 	 1996.532270 	 1895.258131 	 429.215148 	 23.272221 	 14.119555 	 280.741502 	 348935.325606 	 550778.748942 	 741350.748605 	 -0.000048 	 79063.427570 	 30400.945564
2794318.425777 	 438919.786224 	 214748.155776 	 438196.190812 	 99950.112930 	 2317.582030 	 509.214150 	 411.932383 	 7831.031101 	 1982.669467 	 1878.568371 	 426.205378 	 24.282244 	 14.720114 	 297.791546 	 347332.974376 	 554586.812811 	 746253.544510 	 -0.000054 	 79063.427570 	 30400.945564
2780195.736592 	 441641.438085 	 216216.721281 	 441417.960796 	 99687.492177 	 2270.048312 	 495.341607 	 396.215780 	 7790.145045 	 1968.377314 	 1861.411309 	 423.237795 	 25.246607 	 15.291443 	 314.765292 	 345729.184118 	 558394.350142 	 751157.036305 	 -0.000061 	 79063.427570 	 30400.945564
2766074.256361 	 444364.085323 	 217685.283291 	 444638.948937 	 99423.885097 	 2224.351232 	 482.151620 	 381.277926 	 7747.759379 	 1953.699015 	 1843.835751 	 420.308817 	 26.166441 	 15.834251 	 331.660292 	 344123.928342 	 562201.370530 	 756061.197395 	 -0.000067 	 79063.427570 	 30400.945564
2751954.129389 	 447087.735347 	 219153.853885 	 447859.179236 	 99159.314088 	 2180.232583 	 469.581427 	 367.068941 	 7703.991860 	 1938.675050 	 1825.887531 	 417.415148 	 27.042883 	 16.349252 	 348.474228 	 342517.182770 	 566007.883855 	 760966.002527 	 -0.000074 	 79063.427570 	 30400.945564
2737836.458760 	 449812.554344 	 220622.522672 	 451078.830657 	 98893.835338 	 2136.367957 	 457.386033 	 353.466909 	 7658.907548 	 1923.335577 	 1807.606566 	 414.553740 	 27.877060 	 16.837156 	 365.204890 	 340908.925360 	 569813.901745 	 765871.427688 	 -0.000081 	 79063.427570 	 30400.945564
2723719.999403 	 452538.327050 	 222091.192121 	 454297.700963 	 98627.420149 	 2094.149998 	 445.785219 	 340.537540 	 7612.583624 	 1907.711518 	 1789.031380 	 411.721726 	 28.670089 	 17.298678 	 381.850138 	 339299.135014 	 573619.435369 	 770777.450021 	 -0.000088 	 79063.427570 	 30400.945564
2709604.755273 	 455265.039484 	 223559.863232 	 457515.791787 	 98360.084659 	 2053.491987 	 434.748105 	 328.247183 	 7565.123976 	 1891.837167 	 1770.200256 	 408.916470 	 29.423083 	 17.734525 	 398.407944 	 337687.792088 	 577424.494968 	 775684.047812 	 -0.000095 	 79063.427570 	 30400.945564
2695490.729494 	 457992.677972 	 225028.536968 	 460733.104756 	 98091.844597 	 2014.312219 	 424.245421 	 316.563868 	 7516.626266 	 1875.744652 	 1751.149095 	 406.135564 	 30.137145 	 18.145407 	 414.876397 	 336074.878775 	 581229.090952 	 780591.200451 	 -0.000102 	 79063.427570 	 30400.945564
2681378.002478 	 460721.242556 	 226497.220852 	 463949.654976 	 97822.718141 	 1976.442374 	 414.233208 	 305.450648 	 7467.182068 	 1859.464014 	 1731.911526 	 403.376814 	 30.813371 	 18.532027 	 431.253702 	 334460.378993 	 585033.233883 	 785498.888368 	 -0.000110 	 79063.427570 	 30400.945564
2667267.195721 	 463450.828148 	 227965.968811 	 467165.550607 	 97552.742647 	 1939.108080 	 404.559898 	 294.827797 	 7416.851427 	 1843.018730 	 1712.517171 	 400.638206 	 31.452844 	 18.895085 	 447.538161 	 332844.278370 	 588836.935326 	 790407.092971 	 -0.000118 	 79063.427570 	 30400.945564
2653157.604146 	 466181.301868 	 229434.722636 	 470380.670845 	 97281.906801 	 1903.084445 	 395.349776 	 284.728344 	 7365.699905 	 1826.432315 	 1692.994384 	 397.917875 	 32.056632 	 19.235271 	 463.728148 	 331226.563480 	 592640.206554 	 795315.796575 	 -0.000126 	 79063.427570 	 30400.945564
2639049.228435 	 468912.651255 	 230903.483184 	 473595.017349 	 97010.224823 	 1868.304197 	 386.578779 	 275.126070 	 7313.806953 	 1809.729891 	 1673.370960 	 395.214120 	 32.625792 	 19.553273 	 479.822140 	 329607.222106 	 596443.058285 	 800224.982389 	 -0.000134 	 79063.427570 	 30400.945564
