S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 h 	 f1 	 f2 (first line is initial values + initially vaccianted)
20821573.578578 	 77329.329580 	 37359.636437 	 74666.147875 	 20306.261942 	 20821.212356 	 154.655976 	 149.435953 	 50976.071630 	 378.640493 	 365.860437 	 510.929853 	 0.000000 	 0.000000 	 0.000000 	 2331942.194490 	 94650.549404 	 128815.494996 	 0.000000 	 434183.367763 	 213365.101748
20821573.578578 	 77329.329580 	 37359.636437 	 74666.147875 	 20306.261942 	 20821.212356 	 154.655976 	 149.435953 	 50976.071630 	 378.640493 	 365.860437 	 510.929853 	 0.000000 	 0.000000 	 0.000000 	 2331942.194490 	 94650.549404 	 128815.494996 	 0.000000 	 15400.414286 	 5921.665311
20817760.661848 	 77858.847718 	 37647.613879 	 75300.585763 	 20257.929583 	 20822.807588 	 151.877590 	 143.973444 	 51001.572968 	 378.748594 	 365.884071 	 514.022724 	 0.057771 	 0.035302 	 1.772362 	 2332646.832037 	 95382.209664 	 129764.567094 	 0.000000 	 15400.414286 	 5921.665311
20813947.674079 	 78388.592112 	 37935.576165 	 75934.855026 	 20209.344972 	 20824.558957 	 149.259958 	 138.792064 	 51026.652102 	 378.721138 	 365.643921 	 517.065969 	 0.114507 	 0.069957 	 3.549182 	 2333351.885200 	 96113.752792 	 130713.891899 	 0.000000 	 15400.414286 	 5921.665311
20810134.733542 	 78918.558309 	 38223.523496 	 76568.956030 	 20160.513096 	 20826.343195 	 146.794710 	 133.877903 	 51051.322000 	 378.568557 	 365.158781 	 520.060381 	 0.170208 	 0.103952 	 5.330382 	 2334057.344866 	 96845.181103 	 131663.459487 	 0.000000 	 15400.414286 	 5921.665311
20806321.950689 	 79448.741971 	 38511.456066 	 77202.889114 	 20111.438805 	 20828.050686 	 144.473914 	 129.217736 	 51075.589617 	 378.300674 	 364.446397 	 523.006743 	 0.224872 	 0.137277 	 7.115889 	 2334763.202132 	 97576.496992 	 132613.260426 	 0.000000 	 15400.414286 	 5921.665311
20802515.445069 	 79979.161998 	 38799.385281 	 77836.677084 	 20062.132615 	 20823.552928 	 142.261153 	 124.787788 	 51099.449119 	 377.926698 	 363.523515 	 525.905824 	 0.278502 	 0.169922 	 8.905628 	 2335469.448195 	 98307.702929 	 133563.285749 	 -0.000000 	 15400.414286 	 5921.665311
20798823.607301 	 80510.234665 	 39087.515081 	 78470.721455 	 20012.702507 	 20707.310697 	 139.642636 	 120.379319 	 51119.671750 	 377.439850 	 362.399947 	 528.758102 	 0.331101 	 0.201881 	 10.699503 	 2336176.052573 	 99038.804744 	 134513.526888 	 -0.000006 	 15400.414286 	 5921.665311
20795132.270698 	 81041.520278 	 39375.634146 	 79104.592029 	 19963.041860 	 20596.406342 	 137.171607 	 116.197889 	 51133.873316 	 376.836809 	 361.086136 	 531.563130 	 0.382668 	 0.233146 	 12.497331 	 2336882.909708 	 99769.807343 	 135463.975564 	 -0.000012 	 15400.414286 	 5921.665311
20791441.595879 	 81573.015241 	 39663.742791 	 79738.289359 	 19913.155069 	 20490.422339 	 134.840101 	 112.232120 	 51142.426783 	 376.126977 	 359.596805 	 534.320354 	 0.433207 	 0.263712 	 14.298919 	 2337589.903648 	 100500.712806 	 136414.623890 	 -0.000017 	 15400.414286 	 5921.665311
20787751.732632 	 82104.716039 	 39951.841320 	 80371.813972 	 19863.046412 	 20388.972099 	 132.640580 	 108.471206 	 51145.677841 	 375.319187 	 357.945833 	 537.029314 	 0.482718 	 0.293576 	 16.104081 	 2338296.925538 	 101231.523279 	 137365.464371 	 -0.000023 	 15400.414286 	 5921.665311
20784068.870587 	 82636.643298 	 40239.941738 	 81005.189915 	 19812.725809 	 20285.639387 	 130.536174 	 104.893199 	 51143.931772 	 374.421659 	 356.146276 	 539.689641 	 0.531208 	 0.322735 	 17.912639 	 2339003.873091 	 101962.240983 	 138316.489888 	 -0.000029 	 15400.414286 	 5921.665311
20780441.511831 	 83168.988135 	 40528.138918 	 81638.603976 	 19762.242851 	 20133.289238 	 128.289597 	 101.397647 	 51135.740747 	 373.433601 	 354.207093 	 542.300886 	 0.578680 	 0.351189 	 19.724405 	 2339710.637599 	 102692.869963 	 139267.693646 	 -0.000038 	 15400.414286 	 5921.665311
20776815.329505 	 83701.532499 	 40816.328481 	 82271.843159 	 19711.549155 	 19987.374073 	 126.167590 	 98.082431 	 51120.331245 	 372.357112 	 352.137841 	 544.862224 	 0.625139 	 0.378936 	 21.539157 	 2340417.078801 	 103423.413535 	 140219.069119 	 -0.000047 	 15400.414286 	 5921.665311
20773190.469470 	 84234.273333 	 41104.510754 	 82904.908036 	 19660.648572 	 19847.437165 	 124.163323 	 94.938449 	 51098.153275 	 371.199940 	 349.949795 	 547.372869 	 0.670591 	 0.405978 	 23.356673 	 2341123.057915 	 104153.873759 	 141170.610102 	 -0.000056 	 15400.414286 	 5921.665311
20769567.067547 	 84767.207651 	 41392.686053 	 83537.799159 	 19609.544847 	 19713.053863 	 122.270343 	 91.957058 	 51069.626133 	 369.969349 	 347.653567 	 549.832153 	 0.715041 	 0.432316 	 25.176741 	 2341828.444738 	 104884.252744 	 142122.310696 	 -0.000065 	 15400.414286 	 5921.665311
20765948.623595 	 85300.346392 	 41680.861453 	 84170.530711 	 19558.244798 	 19580.450742 	 120.465555 	 89.123297 	 51035.132092 	 368.672106 	 345.259125 	 552.239518 	 0.758498 	 0.457954 	 26.999156 	 2342533.117062 	 105614.552647 	 143074.165300 	 -0.000074 	 15400.414286 	 5921.665311
20762362.211899 	 85833.798627 	 41969.091876 	 84803.211227 	 19506.777045 	 19423.174312 	 118.611589 	 86.376980 	 50994.062473 	 367.309692 	 342.773914 	 554.594417 	 0.800969 	 0.482894 	 28.823715 	 2343236.953146 	 106344.776650 	 144026.168576 	 -0.000084 	 15400.414286 	 5921.665311
20758777.568745 	 86367.437756 	 42257.317070 	 85435.717392 	 19455.116199 	 19271.991172 	 116.859066 	 83.772672 	 50946.172888 	 365.885118 	 340.205575 	 556.896147 	 0.842461 	 0.507140 	 30.650195 	 2343939.817465 	 107074.927526 	 144978.315412 	 -0.000095 	 15400.414286 	 5921.665311
20755194.813306 	 86901.261125 	 42545.537343 	 86068.049755 	 19403.265632 	 19126.487246 	 115.202374 	 81.303168 	 50891.889616 	 364.404494 	 337.562605 	 559.144073 	 0.882985 	 0.530699 	 32.478381 	 2344641.578894 	 107805.007355 	 145930.600948 	 -0.000106 	 15400.414286 	 5921.665311
20751614.056324 	 87435.266142 	 42833.752992 	 86700.208847 	 19351.228624 	 18986.276888 	 113.636208 	 78.961625 	 50831.610710 	 362.873541 	 334.852983 	 561.337671 	 0.922549 	 0.553574 	 34.308066 	 2345342.114446 	 108535.018242 	 146883.020569 	 -0.000117 	 15400.414286 	 5921.665311
20748037.365643 	 87969.458602 	 43121.968389 	 87332.203439 	 19299.010194 	 18849.032619 	 112.145420 	 76.737474 	 50765.702994 	 361.297587 	 332.084190 	 563.476518 	 0.961163 	 0.575773 	 36.139050 	 2346041.308734 	 109264.962321 	 147835.569888 	 -0.000128 	 15400.414286 	 5921.665311
20744480.531086 	 88503.903266 	 43410.216736 	 87964.099366 	 19246.627866 	 18699.230033 	 110.646832 	 74.592968 	 50693.947082 	 359.678715 	 329.262082 	 565.560236 	 0.998837 	 0.597303 	 37.971137 	 2346739.049402 	 109994.842322 	 148788.244732 	 -0.000140 	 15400.414286 	 5921.665311
20740925.942755 	 89038.523222 	 43698.461767 	 88595.822208 	 19194.068068 	 18554.686313 	 109.229082 	 72.559642 	 50616.327810 	 358.019836 	 326.392537 	 567.588386 	 1.035582 	 0.618170 	 39.804123 	 2347435.218657 	 110724.660733 	 149741.041110 	 -0.000152 	 15400.414286 	 5921.665311
20737373.692895 	 89573.316143 	 43986.703761 	 89227.372477 	 19141.333757 	 18415.054329 	 107.887662 	 70.631829 	 50533.212891 	 356.325630 	 323.481856 	 569.560601 	 1.071410 	 0.638382 	 41.637811 	 2348129.703706 	 111454.419630 	 150693.955230 	 -0.000164 	 15400.414286 	 5921.665311
