uptake 	 ICU_duration
0.5000 	 372.2598
0.5045 	 372.1802
0.5090 	 372.0616
0.5135 	 371.2796
0.5180 	 371.0808
0.5225 	 370.8150
0.5270 	 370.4892
0.5315 	 370.0908
0.5360 	 369.6074
0.5405 	 368.3413
0.5450 	 367.7424
0.5495 	 366.9836
0.5540 	 366.1177
0.5585 	 365.1418
0.5630 	 364.0626
0.5675 	 362.1603
0.5720 	 360.1925
0.5765 	 356.0291
0.5810 	 351.8780
0.5855 	 347.7342
0.5900 	 342.8904
0.5945 	 338.0462
0.5990 	 333.9610
0.6035 	 329.8278
0.6080 	 325.6951
0.6125 	 320.8672
0.6170 	 316.7382
0.6215 	 312.6255
0.6260 	 308.5716
0.6305 	 304.4594
0.6350 	 299.6558
0.6395 	 295.5548
0.6440 	 291.4540
0.6485 	 287.4125
0.6530 	 282.6288
0.6575 	 278.5398
0.6620 	 274.4717
0.6665 	 270.4475
0.6710 	 266.3679
0.6755 	 262.2987
0.6800 	 258.2366
0.6845 	 254.1667
0.6890 	 249.4604
0.6935 	 245.4275
0.6980 	 242.0884
0.7025 	 238.0254
0.7070 	 233.3709
0.7115 	 229.3368
0.7160 	 226.0283
0.7205 	 222.0049
0.7250 	 217.3260
0.7295 	 214.0325
0.7340 	 209.2955
0.7385 	 206.0053
0.7430 	 201.9574
0.7475 	 197.9850
0.7520 	 193.9399
0.7565 	 189.9587
0.7610 	 185.9226
0.7655 	 181.9522
0.7700 	 177.9601
0.7745 	 173.2114
0.7790 	 169.9042
0.7835 	 165.8989
0.7880 	 161.8588
0.7925 	 157.8520
0.7970 	 153.1585
0.8015 	 149.0976
0.8060 	 145.0352
0.8105 	 140.9437
0.8150 	 136.8771
0.8195 	 132.0888
0.8240 	 127.9593
0.8285 	 123.0856
0.8330 	 118.8852
0.8375 	 113.9573
0.8420 	 108.9099
0.8465 	 103.8752
0.8510 	 98.5611
0.8555 	 90.9036
0.8600 	 81.7301
0.8645 	 72.3036
0.8690 	 60.9379
0.8735 	 48.0234
0.8780 	 31.5731
0.8825 	 0.0000
0.8870 	 0.0000
0.8915 	 0.0000
0.8960 	 0.0000
0.9005 	 0.0000
0.9050 	 0.0000
0.9095 	 0.0000
0.9140 	 0.0000
0.9185 	 0.0000
0.9230 	 0.0000
0.9275 	 0.0000
0.9320 	 0.0000
0.9365 	 0.0000
0.9410 	 0.0000
0.9455 	 0.0000
