uptake 	 ICU_duration
0.5000 	 377.8112
0.5045 	 377.8051
0.5090 	 377.7854
0.5135 	 377.7580
0.5180 	 377.7355
0.5225 	 377.7070
0.5270 	 377.6852
0.5315 	 377.6637
0.5360 	 376.9348
0.5405 	 376.9126
0.5450 	 376.8915
0.5495 	 376.9178
0.5540 	 376.9098
0.5585 	 376.8774
0.5630 	 376.8561
0.5675 	 376.8345
0.5720 	 376.8008
0.5765 	 376.0788
0.5810 	 376.0466
0.5855 	 376.0239
0.5900 	 375.9994
0.5945 	 376.0222
0.5990 	 376.0114
0.6035 	 375.9852
0.6080 	 375.9442
0.6125 	 375.9183
0.6170 	 375.1921
0.6215 	 375.1543
0.6260 	 375.1257
0.6305 	 375.1027
0.6350 	 375.0670
0.6395 	 375.1001
0.6440 	 375.0865
0.6485 	 375.0460
0.6530 	 374.3172
0.6575 	 374.2895
0.6620 	 374.2442
0.6665 	 374.2139
0.6710 	 374.1845
0.6755 	 374.1368
0.6800 	 374.1752
0.6845 	 373.4375
0.6890 	 373.3706
0.6935 	 373.3089
0.6980 	 373.2285
0.7025 	 373.1253
0.7070 	 372.9759
0.7115 	 372.8148
0.7160 	 372.6858
0.7205 	 371.7211
0.7250 	 371.4357
0.7295 	 371.0953
0.7340 	 370.6679
0.7385 	 370.2193
0.7430 	 369.7068
0.7475 	 368.4223
0.7520 	 367.8125
0.7565 	 367.0974
0.7610 	 366.3043
0.7655 	 365.4249
0.7700 	 364.4809
0.7745 	 362.7264
0.7790 	 360.9799
0.7835 	 357.0907
0.7880 	 353.8914
0.7925 	 350.6948
0.7970 	 346.0542
0.8015 	 342.8588
0.8060 	 339.0151
0.8105 	 335.8297
0.8150 	 332.6419
0.8195 	 328.7527
0.8240 	 324.8643
0.8285 	 321.6866
0.8330 	 318.5008
0.8375 	 314.6183
0.8420 	 310.7664
0.8465 	 307.5740
0.8510 	 304.4520
0.8555 	 300.5869
0.8600 	 296.7110
0.8645 	 293.5658
0.8690 	 290.3924
0.8735 	 287.2853
0.8780 	 282.7245
0.8825 	 279.5710
0.8870 	 276.4024
0.8915 	 273.3068
0.8960 	 269.4562
0.9005 	 266.3006
0.9050 	 263.1537
0.9095 	 259.3608
0.9140 	 256.2049
0.9185 	 253.0576
0.9230 	 249.2978
0.9275 	 245.4932
0.9320 	 242.3551
0.9365 	 239.2118
0.9410 	 236.1897
0.9455 	 233.0804
