uptake 	 ICU_duration
0.5000 	 374.7480
0.5045 	 374.7241
0.5090 	 374.7486
0.5135 	 374.7221
0.5180 	 374.0045
0.5225 	 373.9794
0.5270 	 373.9486
0.5315 	 373.9227
0.5360 	 373.8975
0.5405 	 373.8653
0.5450 	 373.8392
0.5495 	 373.8641
0.5540 	 373.1405
0.5585 	 373.1314
0.5630 	 373.0987
0.5675 	 373.0737
0.5720 	 373.0401
0.5765 	 373.0139
0.5810 	 372.9810
0.5855 	 372.9530
0.5900 	 372.2832
0.5945 	 372.2509
0.5990 	 372.2382
0.6035 	 372.2047
0.6080 	 372.1787
0.6125 	 372.1508
0.6170 	 372.1135
0.6215 	 372.0844
0.6260 	 371.4129
0.6305 	 371.3802
0.6350 	 371.3666
0.6395 	 371.3417
0.6440 	 371.3069
0.6485 	 371.2805
0.6530 	 371.2446
0.6575 	 370.5175
0.6620 	 370.4906
0.6665 	 370.5078
0.6710 	 370.4923
0.6755 	 370.4633
0.6800 	 370.4232
0.6845 	 370.3948
0.6890 	 369.6666
0.6935 	 369.6272
0.6980 	 369.6549
0.7025 	 369.6280
0.7070 	 369.5996
0.7115 	 369.5714
0.7160 	 369.5435
0.7205 	 368.7979
0.7250 	 368.7742
0.7295 	 368.7461
0.7340 	 368.7558
0.7385 	 368.7412
0.7430 	 368.7123
0.7475 	 367.9556
0.7520 	 367.9315
0.7565 	 367.9008
0.7610 	 367.8423
0.7655 	 367.8700
0.7700 	 367.8523
0.7745 	 367.8202
0.7790 	 367.0626
0.7835 	 367.0245
0.7880 	 366.9782
0.7925 	 366.9217
0.7970 	 366.8759
0.8015 	 366.7979
0.8060 	 365.9860
0.8105 	 365.7969
0.8150 	 365.6298
0.8195 	 365.4760
0.8240 	 365.2559
0.8285 	 364.2187
0.8330 	 363.8931
0.8375 	 363.5164
0.8420 	 363.1018
0.8465 	 362.6646
0.8510 	 361.4346
0.8555 	 360.8111
0.8600 	 360.1645
0.8645 	 359.4623
0.8690 	 358.7267
0.8735 	 357.2004
0.8780 	 356.3165
0.8825 	 354.6488
0.8870 	 351.5586
0.8915 	 348.4871
0.8960 	 344.7459
0.9005 	 341.6769
0.9050 	 339.2726
0.9095 	 336.2036
0.9140 	 332.4872
0.9185 	 329.4103
0.9230 	 326.3365
0.9275 	 323.2674
0.9320 	 319.5115
0.9365 	 316.5014
0.9410 	 313.4814
0.9455 	 310.4471
