uptake 	 ICU_duration
0.5000 	 382.2685
0.5045 	 382.2582
0.5090 	 382.2400
0.5135 	 382.2282
0.5180 	 382.2640
0.5225 	 382.2528
0.5270 	 382.2338
0.5315 	 382.2214
0.5360 	 382.2098
0.5405 	 382.2030
0.5450 	 382.1901
0.5495 	 382.1705
0.5540 	 382.1597
0.5585 	 381.4499
0.5630 	 381.4308
0.5675 	 381.4218
0.5720 	 381.4017
0.5765 	 381.3908
0.5810 	 381.3718
0.5855 	 381.3587
0.5900 	 381.3477
0.5945 	 381.3253
0.5990 	 381.3675
0.6035 	 381.3434
0.6080 	 381.3302
0.6125 	 381.3162
0.6170 	 381.3050
0.6215 	 380.5915
0.6260 	 380.5778
0.6305 	 380.5575
0.6350 	 380.5448
0.6395 	 380.5351
0.6440 	 380.5122
0.6485 	 380.5003
0.6530 	 380.4757
0.6575 	 380.4621
0.6620 	 380.4511
0.6665 	 380.4248
0.6710 	 380.4683
0.6755 	 380.4549
0.6800 	 379.7260
0.6845 	 379.7257
0.6890 	 379.7115
0.6935 	 379.6823
0.6980 	 379.6657
0.7025 	 379.6516
0.7070 	 379.6248
0.7115 	 379.6121
0.7160 	 379.6011
0.7205 	 379.5701
0.7250 	 379.5597
0.7295 	 379.5446
0.7340 	 379.5673
0.7385 	 378.8547
0.7430 	 378.8412
0.7475 	 378.8164
0.7520 	 378.8064
0.7565 	 378.7919
0.7610 	 378.7462
0.7655 	 378.7304
0.7700 	 378.7143
0.7745 	 378.6979
0.7790 	 378.6535
0.7835 	 378.6391
0.7880 	 377.9253
0.7925 	 377.9118
0.7970 	 377.9118
0.8015 	 377.9173
0.8060 	 377.9018
0.8105 	 377.8333
0.8150 	 377.8191
0.8195 	 377.7991
0.8240 	 377.7917
0.8285 	 377.0096
0.8330 	 376.9930
0.8375 	 376.9728
0.8420 	 377.0102
0.8465 	 377.0022
0.8510 	 376.9816
0.8555 	 376.9063
0.8600 	 376.8854
0.8645 	 376.8553
0.8690 	 376.1231
0.8735 	 376.0877
0.8780 	 376.0775
0.8825 	 376.0448
0.8870 	 376.0827
0.8915 	 376.0488
0.8960 	 376.0143
0.9005 	 375.9803
0.9050 	 375.1726
0.9095 	 375.1367
0.9140 	 375.1010
0.9185 	 375.1334
0.9230 	 375.0964
0.9275 	 375.0576
0.9320 	 374.3193
0.9365 	 374.2823
0.9410 	 374.2757
0.9455 	 374.2472
