uptake 	 ICU_duration
0.5000 	 369.5406
0.5045 	 369.5158
0.5090 	 369.4775
0.5135 	 369.4336
0.5180 	 368.6952
0.5225 	 368.6524
0.5270 	 368.6143
0.5315 	 368.6330
0.5360 	 368.5978
0.5405 	 367.8555
0.5450 	 367.8148
0.5495 	 367.7677
0.5540 	 367.7264
0.5585 	 367.7286
0.5630 	 367.6822
0.5675 	 366.9023
0.5720 	 366.7894
0.5765 	 366.6531
0.5810 	 366.4683
0.5855 	 366.3094
0.5900 	 365.3292
0.5945 	 364.9799
0.5990 	 364.5664
0.6035 	 364.0767
0.6080 	 363.5558
0.6125 	 362.2195
0.6170 	 361.4917
0.6215 	 360.6648
0.6260 	 359.7551
0.6305 	 358.7454
0.6350 	 356.9867
0.6395 	 355.0882
0.6440 	 351.0731
0.6485 	 347.0586
0.6530 	 342.3474
0.6575 	 339.0916
0.6620 	 335.0978
0.6665 	 331.1019
0.6710 	 327.8074
0.6755 	 323.1156
0.6800 	 319.1738
0.6845 	 315.8900
0.6890 	 311.9088
0.6935 	 307.2378
0.6980 	 303.9730
0.7025 	 300.0485
0.7070 	 296.7986
0.7115 	 292.8481
0.7160 	 288.8955
0.7205 	 284.9403
0.7250 	 281.7309
0.7295 	 277.8070
0.7340 	 273.8620
0.7385 	 269.9264
0.7430 	 266.7392
0.7475 	 262.1262
0.7520 	 258.9016
0.7565 	 255.6847
0.7610 	 251.7603
0.7655 	 247.9107
0.7700 	 244.0106
0.7745 	 240.7961
0.7790 	 236.8965
0.7835 	 233.0695
0.7880 	 229.8923
0.7925 	 226.7128
0.7970 	 222.8239
0.8015 	 219.0097
0.8060 	 215.8466
0.8105 	 211.9903
0.8150 	 208.8378
0.8195 	 205.7319
0.8240 	 201.1818
0.8285 	 198.7189
0.8330 	 194.9233
0.8375 	 191.0948
0.8420 	 187.9803
0.8465 	 184.1530
0.8510 	 181.0951
0.8555 	 177.9857
0.8600 	 174.1754
0.8645 	 171.0673
0.8690 	 167.1879
0.8735 	 164.7339
0.8780 	 160.8339
0.8825 	 156.9900
0.8870 	 153.8500
0.8915 	 150.7238
0.8960 	 146.9039
0.9005 	 143.7790
0.9050 	 139.9827
0.9095 	 136.1290
0.9140 	 133.7233
0.9185 	 129.9523
0.9230 	 126.2120
0.9275 	 123.1146
0.9320 	 120.0218
0.9365 	 116.2465
0.9410 	 113.1868
0.9455 	 110.0941
