S0 	 S1 	 S2 	 V1 	 V2 	 E0 	 E1 	 E2 	 I0 	 I1 	 I2 	 ICU0 	 ICU1 	 ICU2 	 D 	 R0 	 R1 	 R2 	 f1 	 f2 (first line is initial values + initially vaccianted)
9442114.755521 	 36795.117604 	 17776.595553 	 35531.289045 	 9663.116191 	 9444.687791 	 73.610289 	 71.125759 	 23123.201142 	 180.218294 	 174.135479 	 927.243067 	 0.000000 	 0.000000 	 0.000000 	 1057789.796099 	 45039.351223 	 61295.756942 	 206614.311537 	 101533.791658
9442114.755521 	 36795.117604 	 17776.595553 	 35531.289045 	 9663.116191 	 9444.687791 	 73.610289 	 71.125759 	 23123.201142 	 180.218294 	 174.135479 	 927.243067 	 0.000000 	 0.000000 	 0.000000 	 1057789.796099 	 45039.351223 	 61295.756942 	 7328.576430 	 2817.935675
9440381.986828 	 37046.543756 	 17913.530360 	 35834.961104 	 9640.598598 	 9388.299825 	 72.006855 	 68.418114 	 23133.331577 	 180.262678 	 174.144021 	 929.014193 	 0.091075 	 0.055653 	 3.243065 	 1058099.672158 	 45386.698293 	 61747.141848 	 7328.576430 	 2817.935675
9438649.210466 	 37298.078794 	 18050.458868 	 36138.555989 	 9617.961329 	 9334.744745 	 70.492096 	 65.848636 	 23140.540922 	 180.229075 	 174.021843 	 930.760317 	 0.180512 	 0.110284 	 6.490299 	 1058409.679097 	 45733.989690 	 62198.647039 	 7328.576430 	 2817.935675
9436916.483196 	 37549.720622 	 18187.381181 	 36442.073896 	 9595.206754 	 9283.828863 	 69.061417 	 63.410485 	 23145.022389 	 180.123304 	 173.778202 	 932.479635 	 0.268301 	 0.163873 	 9.741461 	 1058719.762452 	 46081.226252 	 62650.267717 	 7328.576430 	 2817.935675
9435183.857983 	 37801.467196 	 18324.297399 	 36745.515012 	 9572.337177 	 9235.371639 	 67.710464 	 61.097157 	 23146.956109 	 179.950846 	 173.421842 	 934.170522 	 0.354438 	 0.216400 	 12.996321 	 1059029.871309 	 46428.408864 	 63101.999322 	 7328.576430 	 2817.935675
9433447.951692 	 38053.302675 	 18461.200899 	 37048.866046 	 9549.351364 	 9192.646529 	 66.452403 	 58.909180 	 23146.514315 	 179.716887 	 172.961028 	 935.831525 	 0.438921 	 0.267849 	 16.254658 	 1059339.958063 	 46775.538448 	 63553.837517 	 7328.576430 	 2817.935675
9431647.026396 	 38304.973473 	 18597.969799 	 37351.886890 	 9526.189573 	 9215.671203 	 65.586633 	 56.958482 	 23145.694366 	 179.435556 	 172.407151 	 937.461867 	 0.521750 	 0.318209 	 19.516298 	 1059649.990151 	 47122.613990 	 64005.778212 	 7328.576430 	 2817.935675
9429846.304861 	 38556.738464 	 18734.730779 	 37654.835453 	 9502.920435 	 9237.452282 	 64.774226 	 55.109637 	 23145.998947 	 179.118318 	 171.770253 	 939.062636 	 0.602935 	 0.367471 	 22.781218 	 1059959.979397 	 47469.635093 	 64457.817596 	 7328.576430 	 2817.935675
9428045.770888 	 38808.595554 	 18871.483811 	 37957.711660 	 9479.545965 	 9258.066280 	 64.012659 	 53.357707 	 23147.346147 	 178.768462 	 171.056896 	 940.635229 	 0.682489 	 0.415630 	 26.049422 	 1060269.946040 	 47816.603102 	 64909.952058 	 7328.576430 	 2817.935675
9426245.409478 	 39060.542706 	 19008.228864 	 38260.515442 	 9456.068128 	 9277.584808 	 63.299525 	 51.697995 	 23149.659347 	 178.389092 	 170.273273 	 942.180956 	 0.760425 	 0.462682 	 29.320915 	 1060579.908821 	 48163.519379 	 65362.178165 	 7328.576430 	 2817.935675
9424439.932457 	 39312.555931 	 19144.955199 	 38563.225180 	 9432.483560 	 9301.357547 	 62.659735 	 50.136712 	 23152.880079 	 177.983200 	 169.425258 	 943.701044 	 0.836759 	 0.508625 	 32.595696 	 1060889.885090 	 48510.385275 	 65814.492654 	 7328.576430 	 2817.935675
9422587.126423 	 39564.455310 	 19281.576205 	 38865.670145 	 9408.752403 	 9370.288356 	 62.302145 	 48.752625 	 23158.463254 	 177.561391 	 168.521446 	 945.197104 	 0.911507 	 0.553459 	 35.873802 	 1061199.901440 	 48857.200535 	 66266.892450 	 7328.576430 	 2817.935675
9420734.402659 	 39816.435219 	 19418.187492 	 39168.045448 	 9384.924313 	 9435.858396 	 61.975044 	 47.443762 	 23167.263436 	 177.131040 	 167.568925 	 946.671974 	 0.984693 	 0.597190 	 39.155373 	 1061510.014738 	 49203.965606 	 66719.374691 	 7328.576430 	 2817.935675
9418881.695500 	 40068.493583 	 19554.788918 	 39470.350793 	 9361.001016 	 9498.295908 	 61.677285 	 46.206590 	 23179.056289 	 176.693796 	 166.572293 	 948.128514 	 1.056341 	 0.639821 	 42.440564 	 1061820.284001 	 49550.682123 	 67171.936666 	 7328.576430 	 2817.935675
9417028.943871 	 40320.628384 	 19691.380350 	 39772.585893 	 9336.984194 	 9557.813519 	 61.407757 	 45.037741 	 23193.632827 	 176.251221 	 165.535888 	 949.569361 	 1.126476 	 0.681358 	 45.729516 	 1062130.764139 	 49897.351707 	 67624.575796 	 7328.576430 	 2817.935675
9415172.208032 	 40572.820927 	 19827.953482 	 40074.733969 	 9312.871656 	 9618.499049 	 61.185904 	 43.942157 	 23210.808086 	 175.804842 	 164.463822 	 950.996943 	 1.195123 	 0.721811 	 49.022369 	 1062441.506236 	 50243.975960 	 68077.289632 	 7328.576430 	 2817.935675
9413280.353620 	 40824.933921 	 19964.442103 	 40376.663948 	 9288.634641 	 9710.622510 	 61.169906 	 42.980161 	 23231.521575 	 175.361975 	 163.362301 	 952.413834 	 1.262307 	 0.761187 	 52.319277 	 1062752.565589 	 50590.555280 	 68530.075865 	 7328.576430 	 2817.935675
9411388.229592 	 41077.114742 	 20100.919068 	 40678.524945 	 9264.309517 	 9798.600974 	 61.170565 	 42.074121 	 23256.280827 	 174.927546 	 162.236397 	 953.823384 	 1.328060 	 0.799497 	 55.620470 	 1063064.017377 	 50937.090569 	 68982.932349 	 7328.576430 	 2817.935675
9409495.744686 	 41329.361373 	 20237.384160 	 40980.316515 	 9239.897776 	 9882.726073 	 61.187568 	 41.221512 	 23284.807871 	 174.502203 	 161.089299 	 955.228846 	 1.392410 	 0.836754 	 58.926179 	 1063375.936134 	 51283.583589 	 69435.857051 	 7328.576430 	 2817.935675
9407602.813926 	 41581.671855 	 20373.837172 	 41282.038226 	 9215.400879 	 9963.269083 	 61.220589 	 40.419922 	 23316.844162 	 174.086569 	 159.924012 	 956.633198 	 1.455389 	 0.872970 	 62.236624 	 1063688.391307 	 51630.036076 	 69888.848039 	 7328.576430 	 2817.935675
9405706.645206 	 41834.032214 	 20510.271989 	 41583.677689 	 9190.817607 	 10043.200504 	 61.283973 	 39.672947 	 23352.156025 	 173.681272 	 158.743379 	 958.039167 	 1.517026 	 0.908159 	 65.552018 	 1064001.447609 	 51976.449737 	 70341.903479 	 7328.576430 	 2817.935675
9403785.436973 	 42086.342947 	 20646.640595 	 41885.139484 	 9166.128391 	 10143.790275 	 61.491334 	 39.024260 	 23391.303268 	 173.291114 	 157.551764 	 959.449482 	 1.577350 	 0.942335 	 68.872579 	 1064315.170782 	 52322.825427 	 70795.021640 	 7328.576430 	 2817.935675
9401863.492494 	 42338.709842 	 20782.995586 	 42186.531560 	 9141.358612 	 10240.281253 	 61.707748 	 38.417724 	 23434.551495 	 172.919215 	 156.352714 	 960.867324 	 1.636396 	 0.975512 	 72.198575 	 1064629.638696 	 52669.164338 	 71248.200916 	 7328.576430 	 2817.935675
9399940.713858 	 42591.130981 	 20919.336702 	 42487.853394 	 9116.509577 	 10332.969428 	 61.933342 	 37.851523 	 23481.624037 	 172.565666 	 155.148418 	 962.295721 	 1.694194 	 1.007708 	 75.530269 	 1064944.927145 	 53015.468251 	 71701.439786 	 7328.576430 	 2817.935675
9398017.009772 	 42843.604500 	 21055.663695 	 42789.104481 	 9091.582571 	 10422.129892 	 62.168209 	 37.323918 	 23532.263832 	 172.230560 	 153.940931 	 963.737435 	 1.750777 	 1.038938 	 78.867914 	 1065261.106853 	 53361.738918 	 72154.736804 	 7328.576430 	 2817.935675
9396090.534000 	 43096.120507 	 21191.972351 	 43090.276271 	 9066.577153 	 10509.783064 	 62.422162 	 36.837205 	 23586.236447 	 171.914018 	 152.732197 	 965.194979 	 1.806175 	 1.069220 	 82.211755 	 1065578.243839 	 53707.978058 	 72608.090599 	 7328.576430 	 2817.935675
9394147.095349 	 43348.611855 	 21328.230322 	 43391.304255 	 9041.481110 	 10609.830860 	 62.770970 	 36.420603 	 23643.828761 	 171.618949 	 151.525173 	 966.670791 	 1.860421 	 1.098570 	 85.562036 	 1065896.403273 	 54054.186824 	 73061.499880 	 7328.576430 	 2817.935675
9392202.433924 	 43601.148832 	 21464.472811 	 43692.260881 	 9016.311037 	 10706.284898 	 63.125272 	 36.036319 	 23705.142660 	 171.347171 	 150.322261 	 968.167532 	 1.913547 	 1.127006 	 88.919028 	 1066215.656801 	 54400.366578 	 73514.963443 	 7328.576430 	 2817.935675
9390256.457850 	 43853.729652 	 21600.699544 	 43993.145609 	 8991.068096 	 10799.410723 	 63.485372 	 35.683025 	 23769.933224 	 171.098501 	 149.124947 	 969.687698 	 1.965583 	 1.154546 	 92.282999 	 1066536.073427 	 54746.519052 	 73968.480153 	 7328.576430 	 2817.935675
9388309.081311 	 44106.352575 	 21736.910255 	 44293.957913 	 8965.753427 	 10889.455008 	 63.851535 	 35.359445 	 23837.973053 	 170.872775 	 147.934622 	 971.233554 	 2.016563 	 1.181208 	 95.654207 	 1066857.717667 	 55092.645951 	 74422.048930 	 7328.576430 	 2817.935675
9386359.214638 	 44359.011136 	 21873.102335 	 44594.692499 	 8940.367188 	 10977.658648 	 64.229704 	 35.066704 	 23909.053552 	 170.669860 	 146.752595 	 972.807146 	 2.066515 	 1.207011 	 99.032899 	 1067180.649873 	 55438.748944 	 74875.668753 	 7328.576430 	 2817.935675
