t 	 H 	 Rt 	 N 	 N_obs 	 Rt_TTI_corrected
188.400000 	 0.003251 	 1.749994 	 22968.099584 	 22926.894300 	 2.124210
188.600000 	 0.003256 	 1.749994 	 22972.636473 	 22926.894300 	 2.124210
188.800000 	 0.003262 	 1.749994 	 22975.428455 	 22926.894300 	 2.124210
189.000000 	 0.003267 	 1.758792 	 22976.847161 	 22926.894300 	 2.133462
189.200000 	 0.003273 	 1.758792 	 22981.955743 	 22942.992854 	 2.133368
189.400000 	 0.003278 	 1.758792 	 22985.190523 	 22942.992854 	 2.133368
189.600000 	 0.003284 	 1.758792 	 22986.642039 	 22942.992854 	 2.133368
189.800000 	 0.003289 	 1.758792 	 22986.394688 	 22942.992854 	 2.133368
190.000000 	 0.003295 	 1.806340 	 22986.072392 	 22942.992854 	 2.183368
190.200000 	 0.003302 	 1.806340 	 23012.746070 	 22957.295611 	 2.183284
190.400000 	 0.003309 	 1.806340 	 23036.457973 	 22957.295611 	 2.183284
190.600000 	 0.003316 	 1.806340 	 23057.371710 	 22957.295611 	 2.183284
190.800000 	 0.003323 	 1.806340 	 23075.639666 	 22957.295611 	 2.183284
191.000000 	 0.003330 	 1.853890 	 23092.938040 	 22957.295611 	 2.233284
191.200000 	 0.003339 	 1.853890 	 23136.206023 	 22972.631859 	 2.233191
191.400000 	 0.003349 	 1.853890 	 23175.755238 	 22972.631859 	 2.233191
191.600000 	 0.003358 	 1.853890 	 23211.800228 	 22972.631859 	 2.233191
191.800000 	 0.003367 	 1.853890 	 23244.540704 	 22972.631859 	 2.233191
192.000000 	 0.003377 	 1.901440 	 23275.686632 	 22972.631859 	 2.283191
192.200000 	 0.003388 	 1.901440 	 23332.041516 	 23008.978040 	 2.282971
192.400000 	 0.003399 	 1.901440 	 23384.155555 	 23008.978040 	 2.282971
192.600000 	 0.003410 	 1.901440 	 23432.278436 	 23008.978040 	 2.282971
192.800000 	 0.003421 	 1.901440 	 23476.642486 	 23008.978040 	 2.282971
193.000000 	 0.003432 	 1.948993 	 23518.978861 	 23008.978040 	 2.332971
193.200000 	 0.003445 	 1.948993 	 23585.962937 	 23102.070457 	 2.332397
193.400000 	 0.003458 	 1.948993 	 23648.349926 	 23102.070457 	 2.332397
193.600000 	 0.003472 	 1.948993 	 23706.413480 	 23102.070457 	 2.332397
193.800000 	 0.003485 	 1.948993 	 23760.408132 	 23102.070457 	 2.332397
194.000000 	 0.003499 	 1.996553 	 23812.077951 	 23102.070457 	 2.382397
194.200000 	 0.003514 	 1.996553 	 23887.986382 	 23259.594061 	 2.381415
194.400000 	 0.003530 	 1.996553 	 23959.057771 	 23259.594061 	 2.381415
194.600000 	 0.003546 	 1.996553 	 24025.581894 	 23259.594061 	 2.381415
194.800000 	 0.003562 	 1.996553 	 24087.828190 	 23259.594061 	 2.381415
195.000000 	 0.003578 	 2.044125 	 24147.548418 	 23259.594061 	 2.431415
195.200000 	 0.003596 	 2.044125 	 24231.215309 	 23477.957235 	 2.430037
195.400000 	 0.003613 	 2.044125 	 24309.886241 	 23477.957235 	 2.430037
195.600000 	 0.003631 	 2.044125 	 24383.861758 	 23477.957235 	 2.430037
195.800000 	 0.003649 	 2.044125 	 24453.421334 	 23477.957235 	 2.430037
196.000000 	 0.003667 	 2.091713 	 24520.321803 	 23477.957235 	 2.480037
196.200000 	 0.003688 	 2.091713 	 24610.918622 	 23751.264979 	 2.478290
196.400000 	 0.003708 	 2.091713 	 24696.323981 	 23751.264979 	 2.478290
196.600000 	 0.003729 	 2.091713 	 24776.849017 	 23751.264979 	 2.478290
196.800000 	 0.003750 	 2.091713 	 24852.782768 	 23751.264979 	 2.478290
197.000000 	 0.003771 	 2.139322 	 24925.887121 	 23751.264979 	 2.528290
197.200000 	 0.003792 	 2.139322 	 25022.518892 	 24070.549428 	 2.526224
197.400000 	 0.003813 	 2.139322 	 25113.908159 	 24070.549428 	 2.526224
197.600000 	 0.003834 	 2.139322 	 25200.369055 	 24070.549428 	 2.526224
197.800000 	 0.003856 	 2.139322 	 25282.193319 	 24070.549428 	 2.526224
198.000000 	 0.003878 	 2.186954 	 25361.143428 	 24070.549428 	 2.576224
198.200000 	 0.003900 	 2.186954 	 25463.549714 	 24429.458240 	 2.573874
198.400000 	 0.003922 	 2.186954 	 25560.682170 	 24429.458240 	 2.573874
198.600000 	 0.003944 	 2.186954 	 25652.856576 	 24429.458240 	 2.573874
198.800000 	 0.003967 	 2.186954 	 25740.366091 	 24429.458240 	 2.573874
199.000000 	 0.003990 	 2.234613 	 25824.974146 	 24429.458240 	 2.623874
199.200000 	 0.004013 	 2.234613 	 25933.010385 	 24823.003183 	 2.621266
199.400000 	 0.004036 	 2.234613 	 26035.753673 	 24823.003183 	 2.621266
199.600000 	 0.004059 	 2.234613 	 26133.520572 	 24823.003183 	 2.621266
199.800000 	 0.004083 	 2.234613 	 26226.604865 	 24823.003183 	 2.621266
