t 	 H 	 Rt 	 N 	 N_obs 	 Rt_TTI_corrected
63.000000 	 0.001530 	 1.000000 	 18668.536854 	 18668.536854 	 1.355111
63.200000 	 0.001530 	 1.000000 	 18542.434429 	 18668.536854 	 1.355111
63.400000 	 0.001530 	 1.000000 	 18422.611354 	 18668.536854 	 1.355111
63.600000 	 0.001530 	 1.000000 	 18308.654110 	 18668.536854 	 1.355111
63.800000 	 0.001530 	 1.000000 	 18200.176506 	 18668.536854 	 1.355111
64.000000 	 0.001530 	 1.018893 	 18097.572985 	 18668.536854 	 1.375111
64.200000 	 0.001531 	 1.018893 	 18013.708271 	 18668.536854 	 1.375111
64.400000 	 0.001532 	 1.018893 	 17933.599896 	 18668.536854 	 1.375111
64.600000 	 0.001533 	 1.018893 	 17856.999161 	 18668.536854 	 1.375111
64.800000 	 0.001534 	 1.018893 	 17783.673861 	 18668.536854 	 1.375111
65.000000 	 0.001535 	 1.037786 	 17714.911539 	 18668.536854 	 1.395111
65.200000 	 0.001536 	 1.037786 	 17662.134509 	 18668.536854 	 1.395111
65.400000 	 0.001538 	 1.037786 	 17611.313013 	 18668.536854 	 1.395111
65.600000 	 0.001539 	 1.037786 	 17562.316396 	 18668.536854 	 1.395111
65.800000 	 0.001541 	 1.037786 	 17515.022702 	 18668.536854 	 1.395111
66.000000 	 0.001542 	 1.056680 	 17470.816245 	 18668.536854 	 1.415111
66.200000 	 0.001545 	 1.056680 	 17441.166055 	 18288.292715 	 1.416895
66.400000 	 0.001547 	 1.056680 	 17412.188460 	 18288.292715 	 1.416895
66.600000 	 0.001549 	 1.056680 	 17383.837212 	 18288.292715 	 1.416895
66.800000 	 0.001551 	 1.056680 	 17356.069162 	 18288.292715 	 1.416895
67.000000 	 0.001554 	 1.075562 	 17330.334084 	 18288.292715 	 1.436895
67.200000 	 0.001556 	 1.075562 	 17318.106478 	 17903.415068 	 1.438713
67.400000 	 0.001559 	 1.075562 	 17305.641348 	 17903.415068 	 1.438713
67.600000 	 0.001562 	 1.075562 	 17292.952579 	 17903.415068 	 1.438713
67.800000 	 0.001565 	 1.075562 	 17280.053136 	 17903.415068 	 1.438713
68.000000 	 0.001568 	 1.092854 	 17268.312851 	 17903.415068 	 1.457040
68.200000 	 0.001571 	 1.092854 	 17268.233002 	 17637.095220 	 1.458305
68.400000 	 0.001575 	 1.092854 	 17267.331936 	 17637.095220 	 1.458305
68.600000 	 0.001578 	 1.092854 	 17265.662283 	 17637.095220 	 1.458305
68.800000 	 0.001581 	 1.092854 	 17263.273147 	 17637.095220 	 1.458305
69.000000 	 0.001585 	 1.108507 	 17261.433516 	 17637.095220 	 1.474902
69.200000 	 0.001589 	 1.108507 	 17269.637024 	 17421.240252 	 1.475934
69.400000 	 0.001593 	 1.108507 	 17276.669886 	 17421.240252 	 1.475934
69.600000 	 0.001597 	 1.108507 	 17282.608039 	 17421.240252 	 1.475934
69.800000 	 0.001600 	 1.108507 	 17287.522313 	 17421.240252 	 1.475934
70.000000 	 0.001604 	 1.122668 	 17292.580434 	 17421.240252 	 1.490953
70.200000 	 0.001609 	 1.122668 	 17306.340682 	 17322.880667 	 1.491425
70.400000 	 0.001613 	 1.122668 	 17318.714969 	 17322.880667 	 1.491425
70.600000 	 0.001617 	 1.122668 	 17329.793200 	 17322.880667 	 1.491425
70.800000 	 0.001622 	 1.122668 	 17339.659217 	 17322.880667 	 1.491425
71.000000 	 0.001626 	 1.135465 	 17349.382769 	 17322.880667 	 1.505000
71.200000 	 0.001630 	 1.135465 	 17366.699142 	 17289.037614 	 1.505163
71.400000 	 0.001634 	 1.135465 	 17382.554619 	 17289.037614 	 1.505163
71.600000 	 0.001638 	 1.135465 	 17397.044171 	 17289.037614 	 1.505163
71.800000 	 0.001642 	 1.135465 	 17410.256348 	 17289.037614 	 1.505163
72.000000 	 0.001646 	 1.147012 	 17423.165420 	 17289.037614 	 1.517413
72.200000 	 0.001649 	 1.147012 	 17442.739725 	 17300.890924 	 1.517355
72.400000 	 0.001653 	 1.147012 	 17460.848473 	 17300.890924 	 1.517355
72.600000 	 0.001657 	 1.147012 	 17477.586994 	 17300.890924 	 1.517355
72.800000 	 0.001660 	 1.147012 	 17493.044163 	 17300.890924 	 1.517355
73.000000 	 0.001664 	 1.157415 	 17508.103956 	 17300.890924 	 1.528391
73.200000 	 0.001667 	 1.157415 	 17529.035470 	 17344.278809 	 1.528180
73.400000 	 0.001671 	 1.157415 	 17548.541876 	 17344.278809 	 1.528180
73.600000 	 0.001674 	 1.157415 	 17566.715830 	 17344.278809 	 1.528180
73.800000 	 0.001677 	 1.157415 	 17583.643701 	 17344.278809 	 1.528180
74.000000 	 0.001681 	 1.166780 	 17600.125668 	 17344.278809 	 1.538114
